"ViolentCrimesPerPop","state","racepctblack","PctEmploy","MalePctNevMarr","PctWorkMom","PctIlleg","NumInShelters","PctPopUnderPov","NumStreet"
"1",0.2,8,0.02,0.68,0.4,0.76,0.14,0.04,0.19,0
"2",0.67,53,0.12,0.73,0.63,0.53,0.24,0,0.24,0
"3",0.43,24,0.49,0.58,0.41,0.67,0.46,0,0.27,0
"4",0.12,34,1,0.71,0.45,0.86,0.33,0,0.1,0
"5",0.03,42,0.02,0.65,0.27,0.6,0.06,0,0.06,0
"6",0.14,6,0.06,0.65,0.57,0.43,0.11,0,0.12,0
"7",0.03,44,0,0.54,0.34,0.62,0.13,0,0.11,0
"8",0.55,6,0.03,0.26,0.47,0.27,0.5,0,0.64,0
"9",0.53,21,0.2,0.43,0.26,0.64,0.29,0.01,0.45,0
"10",0.15,29,0.06,0.44,0.85,0.71,0.07,0,0.11,0
"11",0.24,6,0.15,0.62,0.55,0.81,0.3,0.07,0.18,0.14
"12",0.08,36,0.08,0.51,0.4,0.39,0.14,0.01,0.07,0
"13",0.06,25,0.01,0.55,0.38,0.48,0.03,0,0.07,0
"14",0.09,55,0,0.76,0.39,0.6,0.08,0.01,0.07,0
"15",0.21,6,0.01,0.68,0.5,0.3,0.1,0,0.18,0.11
"16",0.3,19,0.06,0.42,0.34,0.71,0.19,0.01,0.33,0
"17",0.49,36,0.4,0.44,0.94,0.65,0.73,0.23,0.48,0.02
"18",0.07,34,0.01,0.68,0.4,0.48,0.04,0,0.04,0
"19",0.15,18,0.01,0.48,0.58,0.6,0.11,0,0.22,0
"20",0.03,42,0.05,0.25,0.29,0.31,0.06,0,0.28,0
"21",0.34,6,0.05,0.43,0.35,0.3,0.22,0.12,0.34,0.09
"22",0.69,12,0.47,0.59,0.41,0.56,0.35,0.39,0.33,0.36
"23",0.21,41,0.02,0.32,0.49,0.48,0.2,0.05,0.58,0
"24",0.63,19,0.04,0.53,0.39,0.71,0.26,0.05,0.36,0.01
"25",0.31,6,0.05,0.22,0.49,0.47,0.43,0,0.63,0
"26",0.12,8,0.02,0.56,0.73,0.67,0.07,0,0.3,0
"27",0.84,6,0.46,0.57,0.59,0.49,0.49,0,0.25,0
"28",0.1,39,0.01,0.37,0.25,0.42,0.06,0,0.32,0
"29",0.49,54,0.43,0.13,0.33,0.4,0.29,0.01,0.57,0
"30",0.02,9,0.01,0.81,0.35,0.82,0.04,0,0.01,0
"31",0.16,1,0,0.27,0.22,0.54,0.05,0,0.45,0
"32",0.19,19,0.14,0.6,0.44,0.74,0.29,0.18,0.33,0.04
"33",0.15,1,0.32,0.23,1,0.69,0.69,0,1,0
"34",0.31,51,0.51,0.38,0.53,0.62,0.48,0.03,0.43,0
"35",0.08,6,0.06,0.81,0.47,0.62,0.07,0,0.06,0
