"ViolentCrimesPerPop","population","PctForeignBorn","PctHomeless","PopDens","perCapInc","PctUsePubTrans","PctLess9thGrade","PctRecentImmig","NumInShelters","racepctblack","PctEmploy","MalePctNevMarr","PctWorkMom","PctPopUnderPov","NumStreet","medIncome","PctPersDenseHous"
"BerkeleyHeightstownship,NJ",41.02,11980,10.66,0.09,1845.9,29711,9.63,5.81,0.93,11,1.37,64.55,26.38,58.88,1.96,0,75122,0.39
"Marpletownship,PA",127.56,23123,8.3,0,2186.7,20148,3.84,5.61,0.43,0,0.8,61.96,27.99,62.43,3.98,0,47917,1.01
"Tigardcity,OR",218.59,29344,5,0.05,2780.9,16946,4.37,2.8,0.82,16,0.74,69.8,25.78,74.19,4.75,0,35669,2.03
"Gloversvillecity,NY",306.64,16656,2.04,0,3217.7,10810,3.31,11.05,0.28,0,1.7,54.74,28.15,70.27,17.23,0,20580,1.21
"Springfieldcity,MO",442.95,140494,1.49,0.24,1995.7,11878,0.97,8.76,0.32,327,2.51,59.02,33.32,70.52,17.78,4,21577,2.11
"Norwoodtown,MA",226.63,28700,9.19,0,2643.5,18193,9.62,4.49,1.05,0,1.6,65.42,36.05,72.81,4.01,0,42805,1.47
"Andersoncity,IN",439.73,59459,0.87,0.04,1515.3,12161,0.7,10.09,0.11,21,14.2,56.59,28.34,72.44,17.98,0,23221,1.9
"Fargocity,ND",115.31,74111,1.99,0.19,2399.3,13554,1.41,5.52,0.47,125,0.35,68.51,40.87,78.51,13.68,15,25326,1.67
"Wacocity,TX",1544.24,103590,4.63,0.05,1319.3,10195,0.76,13.01,0.72,43,23.14,51.37,38.49,69.23,28.68,4,17852,6.14
"Shermancity,TX",722.02,31601,2.97,0,816.1,12929,0,9.07,0.53,1,12.63,57.76,27.6,72.96,15.61,0,24763,3.41
"SanPablocity,CA",2605.96,25158,26.41,0.27,9387.3,10505,11.22,14.03,5.78,20,21.34,55.94,35.23,61.68,19.02,49,25479,18.18
"BowlingGreencity,KY",798.39,40641,1.54,0.07,1354.2,11760,0.28,15.28,0.51,28,12.18,58.62,39.19,68.49,23.91,2,20043,2.49
"PineBluffcity,AR",1476.93,57140,0.71,0.05,1301.5,9530,0.93,14.49,0.19,28,53.52,51.37,30.7,70.59,27.71,0,19143,5.43
"Enfieldtown,CT",89.94,45532,5.22,0.02,1314.3,16723,1.28,6.55,0.49,8,2.65,68.24,32.45,75.19,2.89,1,44635,1.23
"Glendalecity,CA",374.07,180038,45.19,0.05,5677.3,17966,4.15,11.54,13.71,82,1.3,60.04,34.45,59.33,14.37,17,34372,18.31
"Worthingtoncity,OH",112.5,14869,4.73,0.07,2552.7,22647,1.96,1.33,0.56,10,2.28,66.85,22.37,72.84,2.35,0,49851,0.43
"Arlingtoncity,TX",772.77,261721,7.64,0.02,2716.3,16239,0.14,3.71,1.45,47,8.41,74.65,30.21,71.53,8.21,1,35048,4.95
"NewYorkcity,NY",2097.71,7322564,28.45,0.46,22878.2,16281,54.33,14.1,4.51,23383,28.71,56.12,41,56.42,19.29,10447,29823,12.3
